Days,Mean,St dev,co relation
181,41390.1,12794.91104,0.95604392
182,41393.25,11909.19982,0.96468198
183,41839.4,10434.60171,0.935511175
184,41486.2,10787.82609,0.929717673
185,41833.35,10132.90682,0.881285748
186,41932.05,9344.087889,0.895349884
187,41952.1,9379.496339,0.817889586
188,44222.9,13246.32156,0.851484951
189,44564.75,16353.65348,0.88167404
190,44111.05,11813.28252,0.864834592
191,44375.75,10124.37897,0.863285922
192,45040.65,9901.444707,0.839511757
193,43883.7,9063.36617,0.843436061
194,43941.3,9614.523472,0.958088731
195,43942.05,9625.516503,0.96549125
196,43988.7,9321.350716,0.863845809
197,42868.4,10981.62745,0.921278872
198,43260.45,14263.04497,0.780534189
199,45993.05,14513.01797,0.747889857
200,46674,14794.69673,0.843946983
201,46965,12439.80119,0.954851491
202,46584.95,10774.89904,0.903817172
203,49180.7,12528.8498,0.813916415
204,48615.45,13618.14587,0.84419175
205,46798.25,11602.13412,0.936999684
206,46269.8,9636.622446,0.941315962
207,47658.9,9799.607575,0.877592003
208,49362.5,12718.08673,0.814608048
209,50413.05,12214.65899,0.950445935
210,51273.4,13001.5001,0.901867432
211,52603.4,14057.33582,0.930930854
212,50833.9,11420.24567,0.838356172
213,50569.05,11793.16433,0.707690693
214,51357.9,14930.53984,0.904718213
215,52192.4,17864.21626,0.852558531
216,51007.15,13625.09395,0.89694777
217,52539.55,11709.61484,0.870811112
218,50475.35,13642.0923,0.880046476
219,51622.2,15933.65997,0.949299217
220,54984.3,24123.87856,0.814685845
221,54575.15,17967.22809,0.716115862
222,54848.95,15682.10073,0.84878932
223,54690.5,14878.47827,0.907452488
224,51753.35,12988.9455,0.916919321
225,49956.1,12257.12812,0.93620145
226,56512.4,25619.60268,0.416328028
227,60802.35,27073.2636,0.730939411
228,54687.4,15321.51211,0.442853548
229,52338.4,12351.02232,0.867159715
230,51013.35,15653.80031,0.763915658
231,47945.55,11374.29308,0.891176825
232,44237.25,12742.21719,0.628345822
233,47433.95,10661.19372,0.473555992
234,45010.1,10905.52173,0.870828873
235,43920.5,11166.43562,0.942198898
236,43885.7,13271.20658,0.92687389
237,42213.95,10122.90001,0.950886775
238,41256,9488.140864,0.939645632
239,41695,10159.82054,0.873076774
240,40110.8,9195.605075,0.888677145
241,40430.3,8696.271313,0.865356736
242,37850.15,7492.389579,0.800948489
