,Time,Levels(ft),Inflows(Cs),Disch(Cs)
268,1999.732,1669.72,28943,23299
269,1999.734,1669.87,26016,23097
270,1999.737,1669.95,24707,23150
271,1999.74,1669.94,23222,23417
272,1999.742,1669.91,22620,23203
273,1999.745,1669.85,22088,23256
274,1999.748,1669.94,20938,19187
275,1999.751,1670.05,20691,18550
276,1999.753,1670.09,18758,17979
277,1999.756,1670.05,17366,18145
278,1999.759,1670.01,17125,17903
279,1999.762,1669.94,17025,18388
280,1999.764,1669.79,15248,18166
281,1999.767,1669.6,15060,18759
282,1999.77,1669.37,14148,18624
283,1999.773,1669.12,13635,18500
284,1999.775,1668.86,13494,18552
285,1999.778,1668.44,13263,21438
286,1999.781,1668.02,12739,20912
287,1999.784,1667.57,12188,20946
288,1999.786,1667.19,12079,19473
289,1999.789,1666.86,12120,18542
290,1999.792,1666.52,11833,18451
291,1999.795,1666.17,11738,18549
292,1999.797,1665.84,11932,18354
293,1999.8,1665.48,10697,17703
294,1999.803,1665.2,11084,16533
295,1999.805,1664.87,10494,16916
296,1999.808,1664.54,10077,16500
297,1999.811,1664.22,10273,16500
298,1999.814,1663.87,9737,16548
299,1999.816,1663.5,10146,17347
300,1999.819,1663.1,9813,17597
301,1999.822,1662.7,9765,17548
302,1999.825,1662.29,9570,17549
303,1999.827,1661.87,9084,17258
304,1999.83,1661.4,9114,18261
305,1999.833,1660.93,9502,18648
306,1999.836,1660.49,9840,18403
307,1999.838,1660.04,9645,18403
308,1999.841,1659.51,9545,19085
309,1999.844,1658.92,9445,20000
310,1999.847,1658.33,9545,20097
311,1999.849,1657.77,10061,20075
312,1999.852,1657.26,10879,20000
313,1999.855,1656.71,9642,19476
314,1999.858,1656.1,9090,20000
315,1999.86,1655.47,9774,21044
316,1999.863,1654.83,9736,21181
317,1999.866,1654.12,9448,22146
318,1999.868,1653.37,8908,22320
319,1999.871,1652.57,8646,22952
320,1999.874,1651.78,8452,22583
321,1999.877,1650.98,8486,22792
322,1999.879,1650.19,8548,22677
323,1999.882,1649.34,7752,22953
324,1999.885,1648.48,7571,22954
325,1999.888,1647.62,7487,22866
326,1999.89,1646.85,9230,23000
327,1999.893,1645.96,8126,24046
328,1999.896,1645.02,8026,24837
329,1999.899,1644.08,7598,24408
330,1999.901,1643.15,7296,23928
331,1999.904,1642.26,6993,22908
332,1999.907,1641.34,6478,22935
333,1999.91,1640.41,6462,23092
334,1999.912,1639.5,7592,23048
335,1999.915,1638.58,7455,22396
336,1999.918,1637.84,7993,20014
337,1999.921,1637.07,7591,20097
338,1999.923,1636.31,7803,20145
339,1999.926,1635.56,7437,19619
340,1999.929,1634.76,7216,20208
341,1999.932,1633.97,7389,20223
342,1999.934,1633.17,7461,20454
343,1999.937,1632.36,7259,20412
344,1999.94,1631.54,7268,20588
345,1999.942,1630.72,7096,20412
346,1999.945,1629.91,6840,20000
347,1999.948,1629.12,6645,19475
348,1999.951,1628.29,6525,20003
349,1999.953,1627.42,6914,21046
350,1999.956,1626.54,6525,20815
351,1999.959,1625.72,6461,19783
352,1999.962,1624.9,6184,19500
353,1999.964,1624.07,6020,19500
354,1999.967,1623.23,5854,19500
355,1999.97,1622.4,5979,19456
356,1999.973,1621.56,5766,19412
357,1999.975,1620.72,5727,19368
358,1999.978,1619.8,5512,20137
359,1999.981,1618.9,6245,19431
360,1999.984,1618.04,6545,19144
361,1999.986,1617.21,6669,18824
362,1999.989,1616.38,6701,18862
363,1999.992,1615.5,6107,19000
364,1999.995,1614.64,6354,18954
365,1999.997,1613.6,6651,21883
366,2000,1612.27,9597,29082
367,2000.003,1611.2,7006,22683
368,2000.005,1610.32,5881,18772
369,2000.008,1609.45,5986,18729
370,2000.011,1608.6,5999,18454
371,2000.014,1607.76,6193,18500
372,2000.016,1606.87,5711,18750
373,2000.019,1605.04,5783,19404
374,2000.022,1604.85,5673,21642
375,2000.025,1603.82,5734,20825
376,2000.027,1602.82,5432,20083
377,2000.03,1602,5477,17490
378,2000.033,1601.8,7028,15814
379,2000.036,1600.94,9069,15809
380,2000.038,1600.36,7540,16037
381,2000.041,1599.67,6206,15813
382,2000.044,1599.01,6643,15308
383,2000.046,1598.36,6567,15099
384,2000.049,1597.67,6170,15230
385,2000.052,1597,6250,15046
386,2000.055,1596.24,6353,16330
387,2000.057,1595.45,6127,16500
